产品,情绪,序号,内容
赤鸢,正面,2,"大家都结过婚吗？
嘿嘿，不好意思，我跟赤鸢结了，也算是借着↓
这款“婚庆主题”半身娃娃，体验一下当新郎官的奇妙感觉~"
赤鸢,正面,3,"贤者模式了，和想入手的8u分享一下，lz欢迎8u一起聊穿搭和闲聊~
1：想入手的话蹲tb低价，我就是双11活动期间买的性价比很高了
2：打开包装第一眼惊艳，外形真的绝，丰xiong细yao大tun的比例做得特别好，虽然是半身娃娃，倒模大小肯定比不了真人，但14斤的重量把该有的曲线和分量都体现出来了，很难得。皮肤细节也很不错，毛孔、锁骨、肚脐这些地方都处理得挺细致，看着就很有质感。
3.使用感受就是，鼙鼓很大很软，手感真的无敌，喜欢这类大辟股半身的赤鸢绝对会喜欢（当然如果你是黑皮控那就更喜欢了）。
4：关于存放，很多8u担心空间问题。lz用 24寸行李箱装着完全可以。因为室友本来就知道lz买了啥，也都挺理解的，所以有时候干脆大大方方放在床边。不过还是建议大家给赤鸢套件衣服防出油，平时盖好点。如果在家的话，注意家长别看到！
5：玩法方面，实战下来各种常见姿势都挺顺手的，压在身下高度合适，女上位14斤其实也不累，最喜欢侧着抱那种，特别有沉浸感！另外lz发现放桌上用最方便，入口位置设计得特别友好，桌子高度65cm左右的，刚好对得上，站着玩各种角度都不会别扭，xiong部啥的也完全不影响，整体体验很自然。
5：穿搭的话，lz先用了官方送的旗袍套装（但据说会剐蹭赤鸢），所以lz后面应该会再购买能当抱枕抱着的衣服，后续找到了再跟⑧友分享，也欢迎8友们给我推荐一些小衣服。"
赤鸢,正面,4,"二、10月盖楼点赞福利
【活动时间】：10月2日-11月3日
【参与范围】：关注本吧，且点赞本帖的吧友
【奖品信息】：
常规奖🎁： ①黄油小姐*1、可可狼姬*1、兔娘*1
加抽奖：点赞量突破150，加抽赤鸢*1
【参与方式】：回复想要抽中的产品名称+coc圣杯66，例如：“黄油小姐+coc圣杯66”
【领奖有效期】中奖吧友在开奖后5个工作日内完成领奖"
赤鸢,正面,5,COC赤鸢算是我入手的第一个半身圣杯，这款定位成熟大姐姐的 7KG 半身圣杯，不管是造型设计、触感体验还是玩法丰富度都远超预期，算是近期入手最值得的半身圣杯之一
赤鸢,负面,1,人生中第一次买杯，看各种测评对比各种参数，最后决定一步到位直接入了赤鸢，作为一个20岁÷男差点没玩明白... ...
赤鸢,负面,2,xdm我真的没想到，半身娃娃和杯子之间竟然有这么天差地别！最近我入手了Coc赤鸢的14斤半身娃娃，简直是一次彻底的幸福革命.
赤鸢,负面,3,xd，首发价格入成多少啊，还有就是跟赤鸢比尺寸差距怎么样？
赤鸢,负面,4,本来以为自己好歹算是玩过两个杯子入坑快两年的小登，结果开箱看到赤鸢这个半身大尺寸，直接被震撼到，原来杯子跟半身差别这么大的吗！？
赤鸢,负面,5,"奖品介绍【总结版】:
1、coc新品赤鸢【八字大欧派 7kg半身】
2、coc社长娜娜子【超大J形大雷 5kg半身】
3、coc星梨奈【贫ru电动萝莉 mini半身】"
猫娘,正面,1,我算是一个新手，但这不是我买的第1个杯子了。这个是我目前买的最贵的一个，到手之后给我的感觉就和之前的不一样，首先拿到快递盒是这样的第一感觉就是大，打开之后除本体外送的东西就有run滑油，收纳盒，鼠标垫，黑s袜，红丸，加热棒，除湿棒，三包保护粉（有的甚至在买的时候，没在描述里加上，我完全不知道，算惊喜了）当然最重要的还是这个coc猫娘斐济背了
猫娘,正面,2,"由于我是新人第一次使用cos猫娘圣杯，个人感觉：外观设计：
首先给人带来一种软软糯糯的感觉，粉嫩嫩的颜色给予人的视觉效果是偏柔弱轻飘的感觉，正面的平胸和肚脐带给人微妙的视觉体验，主要是对入口对比的视觉冲击，背面的观感官给人带来一些不一样的风味。
操作性能：
在使用过程中可以先学习一下怎么用（毕竟我也是新手），杯的使用还是需要注意，不然会使体验感下降，毕竟使用本质还是对于一种生理需求；使用过程中的感觉是用微妙的碰撞，只要用了润滑液，不会太过明显，可以很好的锻炼自己，捏在手里软软的（润滑液不要弄手上小心滑飞出去），如果需要刺激一些就捏一捏，这样体验感会更好。
大小重量：
整体偏小，一只手拿得过来，属于不重不轻，有分量但不多刚刚好。
味道：
奶香奶香的，很好闻（刚到手有一些其他味道，需要清洗一下，去除后就是正常好闻的味道）。"
猫娘,正面,3,最近也是入手了COC的炎龙魔女，这款应该是上一年出的，也是有一段时间了老样子，先说材质。材质的话还是COC普遍用的材料，用起来很柔软，很有弹性。闻起来也有一股香味，非常不错。从外观上来看，炎龙魔女是细腰肥臀的类型，臀部要比腰部大了一大圈。不过这次腰部上居然没有肚脐眼，猫娘兔娘都是有的，不过无伤大雅。炎龙魔女的体积也不算，只比猫娘大了一圈。炎龙魔女是双通道圣杯，前入口处采用仿真蝴蝶形状，而后入口则是圆形通道，不过在通道边缘增加了菊花纹路，看起来更色气了。再说通道，前通道七拐八弯的，看见介绍说是什么异形树杈状，确实是很贴合了。内部分布着小颗粒，拐弯处还专门放了大颗粒，压迫感挺不错的，七拐八弯的通道也能给予不错的体验。后通道就比较直了，不过在后半段也有突起，内部的螺旋纹路吸力很好，用起来非常舒适。不过缺点也是有的，之前提到过炎龙魔女的体积不算很大，而她的腰部也比臀部要小一圈。虽然这样便于抓握但也造成了一个问题，那就是外壁比较薄，但并不是很影响使用。其次不知道是不是我的手法问题，总感觉炎龙魔女排气老是排不干净，导致用的时候会有点声音。还有就是通道比较短，前通道长度可以13厘米，主要后通道才11厘米，本人用的时候还疑惑怎么是这么快就到底了，还以为自己变大了白高兴一场。至于其他的暂时还没有发现。只能说单通道和双通道玩起来是有一点区别的。总体而言，炎龙魔女的性价比还是非常可以的（我买的价格是活动和券一起算下来120左右）这个价位的杯子还有两个通道我只能说性价比大大的，用起来也很舒适，虽然有点缺点但并不是很影响使用。可以放心入。另外提一下，买的时候送的徽章和流麻还是很好看的，买的时候还在犹豫买哪个，看到炎龙还送这两个就入手了，给大家分享分享。
猫娘,正面,4,COC猫娘感觉是自己用过最实惠的圣杯了，不仅适合慢玩做到锻炼的作用，还有附赠的小配件来增加刺激性，适合大多数人。抓握起来手感极佳，不仅软嫩而且重量适中。在优惠价之下只需一张不到就可以把这极具性价比的圣杯带回家。
猫娘,正面,5,"开箱即沦陷，仪式感溢出屏幕
包装设计
整体采用清新的浅蓝色调，辅以白色的爪印暗纹，视觉上非常有高级感。礼盒设计配合盒盖上美优酱的猫娘剪影与“MEIYOU SAUCE”字样，拿在手里不像在拆成人玩具，倒像是在拆一款精致的动漫手办。
本体初体验
拿出实体的第一触感就是一个字：软。
胶体材质看起来相当不错，没有刺鼻异味（仅有淡淡的胶味，通风一两天即可散去）。重点是那个臀部造型，上面印制的猫爪图案细节满满，代入感极强。拿在手里沉甸甸的，分量感十足，绝非那种“薄皮大馅”的廉价感，质感这一块我很满意。"
猫娘,负面,1,"作为猫娘的第二代
抢首发入手的这款产品今天刚刚到货 忍不住发个文章
价格首发是三百出头，对于一款3.3kg的臀模来说 价格并不算很贵，快递也是很快"
猫娘,负面,2,杯龄一年多了，一路从猫娘玩到年前入的星梨奈2，说实话刚换的时候也有点不适应，一开始只能坚持2-3分钟，甚至还不如之前，不过用了一段时间之后慢慢找到节奏了，现在基本能稳定在10分钟左右了，频率的话差不多一周3-5次，已经算是有点习惯这种感觉了。最近有点想再往上试试更高一点的，有没有大佬给点建议？
猫娘,负面,3,以前一个人住，总觉得晚上时间特别难熬。后来入手COC的猫娘之后才明白，有些东西真的是为单身量身定做的。体验下来不仅仅是身体的释放，更多的是一种心情上的放松，仿佛有人陪伴一样。
猫娘,负面,4,体验过一众高强度圣杯后，转头回来看猫娘，感觉猫娘是真适合新人入坑用，她的刺激度不高，适合慢玩，不会出现1分钟不到被秒的尴尬情况，我朋友第一次玩coc龙娘的时候可能是加热过头了，插进去老北京鸡肉卷直接受不了（当然肯定不是楼主本人哈），这个订单是当时朋友失恋大手一挥买给朋友的所以有点贵不是活动价（不用怀疑楼主没有女朋友所以不会失恋），coc店铺经常有活动打折，趁便宜买一般在90左右，价格亲民
猫娘,负面,5,以前一个人住，总觉得晚上时间特别难熬。后来入手COC的猫娘之后才明白，有些东西真的是为单身量身定做的。体验下来不仅仅是身体的释放，更多的是一种心情上的放松，仿佛有人陪伴一样。
蜜桃,正面,1,"包装盒上印刷的黄油小姐的插画可爱捏。
coc黄游小姐臀模圣杯，外形犹如一颗粉色蜜桃，给她穿上黑丝小裙子，那种若隐若现的诱惑感直接拉满。重量3.4kg，双手抱着刚好，材质Q弹柔软，一掌弹三下真是名不虚传。"
蜜桃,正面,2,"楼1｜快递开箱+外观全貌
📦首图：快递包装箱实拍（打厚码），简约牛皮纸箱无多余印刷，拆箱时能感受到产品被防护膜紧密包裹，边角无磕碰，安全感拉满～✨产品整体图（打厚码）：1:1复刻饱满蜜桃臀造型，圆润立式翘臀设计超吸睛，腿部支撑结构合理，摆放时稳稳立住不歪斜，整体线条流畅写实，颜值直接戳中二次元审美。材质摸上去外层皮肤Q弹软绵，触感细腻不粘手，重量扎实（约3.4KG），拿在手里有满满的分量感，不愧是口碑款倒模。关键词：COC、飞机杯、倒模
楼2｜细节拆解+操作体验
🔍产品局部图（打厚码）：重点拍通道入口设计，双层软芯结构清晰可见，夹心双通道配置太懂需求～前通道是三段式仿真腔体，多肉大颗粒错落分布；后通道紧缩平直，细节拉满。💧操作演示：搭配配套润滑液使用超丝滑，按压式取用不浪费。操作时能明显感受到双层材质的回弹，加速运动下会产生主动暧昧的拉扯感，撞一下duang三下的反馈超真实，可玩性直接拉满。新手也能轻松上手，不用复杂技巧，重点是材质无异味，清洁时直接冲洗即可，保养超省心。关键词：COC、斐济杯、圣杯
楼3｜试用感受+总结安利
🌟试用体验：软弹度满分，慢玩和进阶玩法都适配～前通道三段式纹理带来层层递进的包裹感，一寸有一寸的新鲜体感超惊喜；后通道依托模体重量带来厚重压裹感，搭配双通道切换，体验感直接拉满。整体适配度高，不管是入坑萌新还是老玩家，都能找到适配的玩法，号称“不会出错的倒模神器”真不是吹的。💡总结：COC黄油小姐兼顾颜值与实力，1:1造型还原度高，材质舒适安全，操作简单易保养，性价比拉满。二次元圣杯爱好者闭眼冲，绝对不踩雷～关键词：COC、名器、倒模"
蜜桃,正面,3,"直接上对比照吧。首先是颜色，如果说1.0是那种冷白皮，那么2.0就是粉红少女皮，整个的粉嫩度比1.0会更明显。
形态上，也明显不一样，1.0整个是往上挺拔的感觉，1.0则是往两边阔长的。所以给人整体的感觉是1.0的腰臀比例比较匀称，属于圆润蜜桃臀，更像现实生活中身材好的女孩子。而2.0的腰更细，屯更丰腴，更像漫画里的女孩。
1.0和2.0，从外形上来说，我感觉没有谁更好一说，只能说各花入各眼，仁者见仁智者见智吧！"
蜜桃,正面,4,"直接上对比照吧。首先是颜色，如果说1.0是那种冷白皮，那么2.0就是粉红少女皮，整个的粉嫩度比1.0会更明显。
形态上，也明显不一样，1.0整个是往上挺拔的感觉，1.0则是往两边阔长的。所以给人整体的感觉是1.0的腰臀比例比较匀称，属于圆润蜜桃臀，更像现实生活中身材好的女孩子。而2.0的腰更细，屯更丰腴，更像漫画里的女孩。
1.0和2.0，从外形上来说，我感觉没有谁更好一说，只能说各花入各眼，仁者见仁智者见智吧！"
蜜桃,正面,5,"lz总算是放寒假了
双十一买的黄油二终于是用上了
看到有纠结1.0 2.0的8u，分享一下我的感受
首先是重量方面，一代略重于二代，但是正常使用和清洗方面感觉不太出重量区别。8u们无需担心重量区别。
其次通道方面，二代是片状，次级程度更高。对于追求刺激的8u可以选2.0，高敏感的选1.0。
外形方面，一代是圆润丰满的蜜桃tun（没话说，真的很好看）。二代减小腰高，增加了tun部面积。(接触面积增大，体验感大提升了也是)
颜色方面，一代白皙色，二代是粉嫩的肉色
最后是材质方面，超软果冻。一代是那种整体都非常软，摸着、rua着是非常的舒服，就是有时候抓不住啊哈哈哈哈，清洗的时候得多费点心思。
二代的腰部和腿根相对硬些，使用就方便很多，pp还是很软很q弹的，二代综合体验感更高。
第一次分享，纯个人感受(不喜勿喷)"
蜜桃,负面,1,我手机拍的有色差，实物是那种很含蓄的蜜桃粉，不是艳粉，也不是肉色。就是那种……你懂吧，少女脸红那种粉。
莓莓兔,正面,1,"一、关注冲1000福利
C酱2区吧距离千粉不远啦，还需要各位新8u老8u再支持一波，上千粉咱就抽！
过去2个月COC已经上了2个新品：黄油小姐2.0，莓莓兔即将上新的诺诺亚，一共3个新品，这次痛快抽抽抽！
【奖品信息】3款新品任选其一*3份
【参与方式】关注本吧，点赞本帖，并在此贴回复”新品+coc圣杯66“
【抽奖时间】关注满1000粉
！！宠粉预告：破2000粉，咱们继续抽"
莓莓兔,正面,2,祝莓莓兔生日快乐
莓莓兔,正面,3,手握c家诸多倒膜 赤鸢 黄油一二 可可一二 兔娘 莓莓兔 诺诺亚 可以说是如数家珍了😋 有想问的欢迎评论私信
莓莓兔,正面,4,"兄弟们集合！真抽奖不玩虚的！🎂2.14是COC莓莓兔生日，这波属于双喜临门：过年放假➕兔兔庆生，必须给兄弟们把排面安排到位！！
关注莓莓兔的老铁都懂：外表萌到犯规，妥妥的二次元女友感，但人家可不是花瓶！尤其是2.0升级版，那个兔耳通道设计真是懂操作的，体验层层递进，手感细节拉满，玩过一次就懂什么叫“沉浸式互动”，绝对耐用不闲置，用过都说夯！！
🎁【奖品信息】：
① 莓莓兔2.0半身 ×1
②莓莓兔1.0 名器×1
③ 莓莓兔周边手机支架或者徽章2选1 *5
👉参与方式很简单：
1️⃣ 本帖正常盖楼即可（聊天/分享使用体验/说说你玩过的都行）
2️⃣ 每人不限楼层，越活跃中奖概率越高
🕒截止时间：2月28日12：00开奖"
莓莓兔,正面,5,"桌面上，一场属于「莓莓兔」的可爱盛宴正悄然铺展。那抹鲜亮的粉紫色包装盒最为夺目，印着浅紫长发、笑眼弯弯的兔耳少女，“萌型曲线 心动专研”的字样仿佛在低语着少女心事。包装盒旁，穿着蕾丝边粉白小衣的莓莓兔半身静静伫立，柔滑面料与蓬松蕾丝交织，将“萌系曲线”的巧思具象成触手可及的柔软。
散落的周边也满是巧思：印着同款少女的明信片，把她端着甜点的俏皮模样永远定格；还有绘着卡通形象的小香片，带着满满的草莓香气，为这份“心动”添上几分童趣。左侧那份印着各位前辈的快乐补结仓，用活泼的文字宣告着“快乐补给”的秘密——原来，这是一场COC专为喜爱萌系的灵魂准备的温柔仪式，每一处细节都藏着让心跳加速的魔法。
在这片由粉紫与柔白构筑的小天地里，仿佛连空气都染上了甜软的气息，而那些印着少女笑靥的物件，正静静等待着将这份“心动”传递给每一个懂它的人。"
莓莓兔,负面,1,出差给兄嘚买的莓莓兔，怎么感觉他比见到我还激动，听说这款比较刺激，期待有效果，兄嘚能锻炼上(❁´◡`❁
莓莓兔,负面,2,两个价格差不多，都是三百多，诺诺亚因为有电动加持，所以功能会丰富点。但莓莓兔大啊，通道也很有特点，越说越纠结了
